"extract_date","tx_incid","R","taux_occupation_sae","tx_pos"
"2020-03-18",NA,NA,15.2,NA
"2020-03-19",5.57082271463596,NA,19.8,NA
"2020-03-20",8.4039498982035,NA,25.6,NA
"2020-03-21",11.0134091462262,NA,28.7,NA
"2020-03-22",13.6005016006945,NA,33.1,NA
"2020-03-23",18.2826170514324,NA,41.1,NA
"2020-03-24",23.9190490271615,NA,49.5,NA
"2020-03-25",30.0848284503467,NA,58,NA
"2020-03-26",32.9373401883281,NA,66.3,NA
"2020-03-27",36.9424873541504,NA,74.3,NA
"2020-03-28",40.0320871038093,NA,83.7,NA
"2020-03-29",41.7155610986766,NA,90.8,NA
"2020-03-30",44.2325709333408,NA,100,NA
"2020-03-31",47.1178873018688,NA,108.7,NA
"2020-04-01",48.9355620580629,NA,117.4,NA
"2020-04-02",50.0598662140681,NA,124.7,NA
"2020-04-03",51.0261116956217,NA,129.6,NA
"2020-04-04",49.9689079202799,NA,132.9,NA
"2020-04-05",48.6835628506824,NA,135.6,NA
"2020-04-06",47.5354007815524,NA,137.4,NA
"2020-04-07",45.6983414709444,NA,138.5,NA
"2020-04-08",44.3294937054102,NA,138.8,NA
"2020-04-09",43.0694976685078,NA,137.1,NA
"2020-04-10",42.7682915153075,NA,135.9,NA
"2020-04-11",41.4546151738743,NA,133.5,NA
"2020-04-12",41.0192082593471,NA,132.7,NA
"2020-04-13",36.8545112995028,NA,132.3,NA
"2020-04-14",34.8892157058491,NA,130.5,NA
"2020-04-15",33.0939077432095,NA,125.2,NA
"2020-04-16",30.9869557903774,NA,121.4,NA
"2020-04-17",28.0524324760295,NA,117.1,NA
"2020-04-18",27.2546835059197,NA,113.3,NA
"2020-04-19",26.0066164255797,NA,111.6,NA
"2020-04-20",26.9922464615472,NA,110.4,NA
"2020-04-21",25.7904040878864,NA,105.5,NA
"2020-04-22",23.6953810916167,NA,101.4,NA
"2020-04-23",21.9492800747969,NA,98.2,NA
"2020-04-24",19.9988956768462,NA,94.6,NA
"2020-04-25",18.9759876516213,NA,91.8,NA
